Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Awards
Bob McAdoo,23,BUF,C,82,,43.2,13.4,26.1,.512,7.8,9.7,.805,3.7,10.3,14.1,2.2,1.1,2.1,3.4,34.5,"MVP-1,AS,NBA1"
Rick Barry,30,GSW,SF,80,,40.4,12.9,27.7,.464,4.9,5.5,.904,1.2,4.6,5.7,6.2,2.9,0.4,2.8,30.6,"MVP-4,AS,NBA1"
Kareem Abdul-Jabbar,27,MIL,C,65,,42.3,12.5,24.4,.513,5.0,6.6,.763,3.0,11.0,14.0,4.1,1.0,3.3,3.2,30.0,"MVP-5,AS,DEF1"
Tiny Archibald,26,KCO,PG,82,,39.6,9.3,20.3,.456,8.0,9.1,.872,0.6,2.1,2.7,6.8,1.5,0.1,2.3,26.5,"MVP-6,AS,NBA1"
Charlie Scott,26,PHO,PG,69,,37.6,10.2,23.1,.441,4.0,5.1,.781,1.0,2.9,4.0,4.5,1.6,0.3,4.3,24.3,AS
Bob Lanier,26,DET,C,76,,39.3,9.6,18.9,.510,4.8,5.9,.802,3.0,9.1,12.0,4.6,1.0,2.3,3.1,24.0,"MVP-13,AS"
Elvin Hayes,29,WSB,PF,82,,42.3,9.0,20.3,.443,5.0,6.5,.766,2.7,9.5,12.2,2.5,1.9,2.3,2.9,23.0,"MVP-3,AS,NBA1,DEF2"
Gail Goodrich,31,LAL,SG,72,,37.1,9.1,19.8,.459,4.4,5.3,.841,1.3,1.7,3.0,5.8,1.4,0.1,3.0,22.6,AS
Spencer Haywood,25,SEA,PF,68,,37.2,8.9,19.5,.459,4.5,5.6,.811,2.9,6.4,9.3,2.0,0.8,1.6,2.5,22.4,"MVP-13,AS,NBA2"
Lou Hudson,30,ATL,SG,11,,34.5,8.8,20.5,.431,4.4,5.2,.842,1.3,3.0,4.3,3.6,1.2,0.2,3.0,22.0,
Bob Love,32,CHI,PF,61,,39.4,8.8,20.6,.429,4.3,5.2,.830,1.6,4.7,6.3,1.7,1.0,0.2,3.4,22.0,"MVP-19,DEF2"
Fred Carter,29,PHI,PG,77,75,39.6,9.3,20.8,.447,3.3,4.5,.738,0.9,3.5,4.4,4.4,1.1,0.3,3.3,21.9,
Phil Chenier,24,WSB,SG,77,,37.3,9.0,19.9,.450,3.9,4.7,.825,1.0,2.8,3.8,3.2,2.3,0.8,2.1,21.8,"MVP-8,AS,NBA2"
Sidney Wicks,25,POR,PF,82,,38.6,8.4,17.0,.497,4.8,6.8,.706,2.8,7.9,10.7,3.5,1.3,1.0,3.5,21.7,"MVP-12,AS"
Walt Frazier,29,NYK,PG,78,,41.1,8.6,17.8,.483,4.2,5.1,.828,1.2,4.8,6.0,6.1,2.4,0.2,2.6,21.5,"MVP-15,AS,NBA1,DEF1"
Pete Maravich,27,NOJ,SG,79,,36.1,8.3,19.8,.419,4.9,6.1,.811,1.2,4.2,5.3,6.2,1.5,0.2,2.9,21.5,
Fred Brown,26,SEA,SG,81,,33.0,9.1,19.0,.480,2.8,3.4,.831,1.4,2.8,4.2,3.5,2.3,0.2,2.8,21.0,MVP-21
Earl Monroe,30,NYK,SG,78,,36.1,8.6,18.7,.457,3.8,4.6,.827,0.7,3.5,4.2,3.5,1.4,0.4,2.6,20.9,"MVP-16,AS"
Rudy Tomjanovich,26,HOU,PF,81,,38.7,8.6,16.3,.525,3.6,4.5,.790,2.3,5.3,7.6,2.9,0.9,0.3,2.8,20.7,"MVP-21,AS"
Dave Cowens,26,BOS,C,65,,40.5,8.8,18.4,.475,2.9,3.8,.783,3.5,11.2,14.7,4.6,1.3,1.1,3.7,20.4,"MVP-2,AS,NBA2,DEF2"
Bob Dandridge,27,MIL,SF,80,,37.9,8.6,18.3,.473,2.6,3.3,.805,1.8,5.1,6.9,3.0,1.5,0.6,4.1,19.9,AS
Billy Cunningham,31,PHI,SF,80,73,35.7,7.6,17.8,.428,4.3,5.6,.777,1.6,7.5,9.1,5.5,1.1,0.4,3.4,19.5,
John Havlicek,34,BOS,SF,82,,38.2,7.8,17.2,.455,3.5,4.0,.870,1.9,4.0,5.9,5.3,1.3,0.2,2.8,19.2,"MVP-7,AS,NBA2,DEF1"
Chet Walker,34,CHI,SF,76,,32.3,6.9,14.2,.487,5.4,6.3,.860,1.5,4.2,5.7,2.2,0.6,0.1,2.4,19.2,MVP-16
Lucius Allen,27,2TM,PG,66,,35.7,7.7,17.7,.437,3.6,4.6,.778,1.4,2.8,4.2,5.6,2.1,0.4,3.3,19.1,
Dave Bing,31,DET,PG,79,,40.8,7.3,16.9,.434,4.3,5.4,.809,1.1,2.5,3.6,7.7,1.5,0.3,2.8,19.0,AS
Calvin Murphy,26,HOU,PG,78,,32.2,7.1,14.8,.484,4.4,4.9,.883,0.7,1.6,2.2,4.9,1.6,0.1,3.6,18.7,
John Drew,20,ATL,PF,78,,29.3,6.8,15.8,.428,5.0,7.0,.713,4.6,6.1,10.7,1.8,1.5,0.5,3.5,18.5,ROY-2
Tom Van Arsdale,31,2TM,SF,82,6,34.7,7.2,16.9,.428,3.9,5.2,.759,0.9,2.5,3.4,2.7,1.1,0.0,3.1,18.4,
Geoff Petrie,26,POR,PG,80,,38.9,7.5,16.5,.456,3.3,3.9,.839,0.5,2.1,2.6,5.3,1.0,0.2,2.7,18.3,
Jo Jo White,28,BOS,PG,82,,39.3,8.0,17.6,.457,2.3,2.7,.834,1.0,2.8,3.8,5.6,1.6,0.2,2.5,18.3,"AS,NBA2"
Doug Collins,23,PHI,SG,81,76,34.8,6.9,14.2,.488,4.1,4.8,.844,1.3,2.6,3.9,2.6,1.3,0.2,3.6,17.9,
Randy Smith,26,BUF,SG,82,,36.6,7.4,15.4,.484,2.9,3.6,.800,1.2,3.0,4.2,6.5,1.7,0.0,3.0,17.8,
Jimmy Walker,30,KCO,SG,81,,38.5,6.8,14.4,.475,3.0,3.6,.855,0.6,2.3,3.0,2.8,1.0,0.2,2.7,16.7,
Jim Price,25,2TM,PG,50,,37.4,6.3,14.3,.442,3.4,3.9,.871,1.2,2.7,4.0,5.7,2.2,0.5,3.6,16.1,AS
John Johnson,27,POR,SF,80,,31.8,6.6,13.5,.487,3.0,3.8,.784,2.0,4.2,6.3,3.0,0.9,0.5,3.1,16.1,
Dick Van Arsdale,31,PHO,SG,70,,34.6,6.0,12.8,.470,4.0,4.8,.832,0.7,2.0,2.7,2.8,1.2,0.2,2.5,16.1,
Bingo Smith,28,CLE,SF,82,,32.1,7.1,14.8,.483,1.6,2.0,.825,1.3,3.6,5.0,2.8,1.0,0.3,2.8,15.9,
Cazzie Russell,30,LAL,SF,40,,26.4,6.6,14.5,.455,2.5,2.8,.894,0.9,2.0,2.9,2.7,0.7,0.1,1.4,15.7,
Steve Mix,27,PHI,PF,46,46,38.0,6.1,12.7,.481,3.5,4.5,.776,3.4,7.5,10.9,2.2,1.7,0.5,3.8,15.6,AS
Mike Riordan,29,WSB,SF,74,,29.6,7.0,14.3,.492,1.3,1.6,.838,1.2,2.6,3.8,2.7,1.0,0.1,3.2,15.4,
Norm Van Lier,27,CHI,PG,70,,37.0,5.8,13.9,.420,3.4,4.3,.792,1.2,3.5,4.7,5.8,2.0,0.2,3.5,15.0,"MVP-11,DEF2"
Austin Carr,26,CLE,SG,41,,26.4,6.1,13.1,.468,2.2,2.6,.840,1.2,1.4,2.6,3.8,1.2,0.0,1.4,14.5,
Jim Chones,25,CLE,C,72,,33.7,6.2,12.7,.487,2.1,3.1,.679,2.2,7.2,9.4,1.8,0.7,1.7,3.4,14.5,MVP-20
Mike Newlin,26,HOU,SG,79,,34.3,5.5,11.5,.482,3.4,3.9,.869,0.7,2.6,3.3,5.1,1.4,0.1,3.6,14.4,
Jim McMillian,26,BUF,SF,62,,34.4,5.6,11.2,.499,3.1,3.7,.840,2.0,4.2,6.2,2.5,1.1,0.2,2.1,14.3,
Dick Snyder,30,CLE,SG,82,,31.6,6.1,12.0,.504,2.0,2.4,.846,0.5,2.5,2.9,3.4,0.8,0.5,2.8,14.2,
Jamaal Wilkes,21,GSW,SF,82,,30.7,6.1,13.8,.442,2.0,2.7,.734,2.5,5.7,8.2,2.2,1.3,0.3,2.7,14.2,ROY-1
Don Nelson,34,BOS,SF,79,,26.0,5.4,9.9,.539,3.3,4.0,.827,1.6,4.3,5.9,2.3,0.4,0.2,3.0,14.0,
Archie Clark,33,SEA,PG,77,,32.2,5.9,11.9,.495,2.1,2.5,.834,0.8,2.3,3.1,5.6,1.4,0.1,2.4,13.9,
Curtis Perry,26,PHO,PF,79,,34.0,5.5,11.6,.477,2.3,3.2,.719,4.4,7.5,11.9,2.4,1.4,1.0,3.6,13.4,
Nate Williams,24,2TM,SG,85,,22.9,5.6,11.6,.480,2.1,2.6,.823,1.2,2.8,4.0,1.7,1.1,0.4,3.0,13.3,
Bill Bradley,31,NYK,SF,79,,35.3,5.7,13.1,.436,1.8,2.1,.873,0.8,2.4,3.2,3.1,0.9,0.2,3.6,13.3,
Butch Beard,27,GSW,PG,82,,30.7,5.0,9.4,.528,2.8,3.4,.832,1.4,2.4,3.9,4.2,1.6,0.1,3.6,12.8,
Bill Walton,22,POR,C,35,,32.9,5.1,9.9,.513,2.7,3.9,.686,2.6,10.0,12.6,4.8,0.8,2.7,3.3,12.8,
Mike Bantom,23,PHO,SF,82,,27.3,5.1,11.1,.461,2.3,3.2,.714,2.6,4.2,6.7,1.9,0.8,0.6,3.3,12.5,MVP-16
Curtis Rowe,25,DET,PF,82,,34.0,5.1,10.7,.483,2.1,2.8,.753,2.1,5.0,7.1,1.5,0.6,0.5,2.3,12.4,
Keith Erickson,30,PHO,SF,49,,30.0,4.8,11.4,.425,2.7,3.2,.833,1.4,3.5,5.0,3.5,1.0,0.2,3.1,12.3,
Lloyd Neal,24,POR,PF,82,,27.8,5.0,10.6,.471,2.3,3.6,.641,2.3,6.1,8.4,1.7,0.5,1.1,2.9,12.3,
Jerry Sloan,32,CHI,SG,78,,33.0,4.9,11.1,.439,2.5,3.3,.748,2.3,4.6,6.9,2.1,2.2,0.2,3.4,12.2,DEF1
Herm Gilliam,28,ATL,SG,60,,23.2,5.2,12.3,.427,1.6,1.9,.832,1.3,2.1,3.4,2.8,1.3,0.2,2.1,12.0,
Jim Cleamons,25,CLE,PG,74,,36.4,5.0,10.4,.480,1.9,2.4,.796,1.3,3.1,4.4,5.1,1.1,0.3,2.6,11.9,
Jack Marin,30,BUF,SF,81,,26.5,4.7,10.3,.455,2.4,2.7,.869,1.3,3.2,4.5,1.6,0.6,0.2,2.9,11.8,
Ed Ratleff,24,HOU,SF,80,,32.0,4.9,10.6,.461,2.0,2.4,.826,2.3,3.4,5.7,3.2,1.8,0.6,2.9,11.8,
Aaron James,22,NOJ,SF,76,,22.8,4.9,10.2,.477,1.9,2.5,.778,1.8,3.0,4.8,0.9,0.5,0.2,2.9,11.7,
Mike Sojourner,21,ATL,C,73,,29.2,5.2,10.6,.488,1.3,2.0,.651,2.7,6.1,8.8,1.3,0.5,0.8,3.0,11.7,ROY-5
Brian Winters,22,LAL,SG,68,,22.3,5.3,11.9,.443,1.1,1.4,.826,0.6,1.5,2.0,2.9,1.1,0.3,2.5,11.7,
Kevin Porter,24,WSB,PG,81,,32.0,5.0,10.2,.491,1.6,2.3,.704,0.7,1.2,1.9,8.0,1.9,0.1,4.0,11.6,
Leonard Gray,23,SEA,PF,75,,30.4,5.0,10.3,.489,1.4,1.9,.722,1.8,4.6,6.4,2.2,0.8,0.3,3.9,11.5,ROY-4
Sam Lacey,26,KCO,C,81,,41.7,4.8,11.3,.427,1.8,2.4,.754,2.8,11.4,14.2,5.3,1.7,2.1,3.4,11.5,"MVP-10,AS"
Tom Henderson,23,ATL,PG,79,,27.0,4.6,11.3,.411,2.1,3.1,.697,0.6,2.0,2.7,4.0,1.3,0.1,1.9,11.4,
John Brown,23,ATL,SF,73,,27.2,4.3,9.4,.461,2.5,3.4,.740,2.5,3.5,5.9,1.8,0.7,0.2,3.1,11.2,
Louie Nelson,23,NOJ,PG,72,,26.4,4.3,9.4,.452,2.7,3.5,.768,1.0,1.7,2.7,2.5,0.9,0.1,2.6,11.2,
Gar Heard,26,BUF,PF,67,,32.1,4.7,12.2,.388,1.6,2.8,.564,2.8,7.2,9.9,2.8,1.6,1.8,3.6,11.1,
Scott Wedman,22,KCO,SF,80,,31.9,4.7,10.1,.465,1.7,2.1,.818,2.5,3.6,6.1,1.6,1.0,0.3,3.4,11.1,ROY-3
John Mengelt,25,DET,SG,80,,24.9,4.2,8.8,.479,2.6,3.1,.851,0.5,1.9,2.4,2.5,0.9,0.1,2.5,11.0,
Pat Riley,29,LAL,SF,46,,22.1,4.8,11.4,.419,1.5,2.0,.742,0.5,1.3,1.8,2.6,0.8,0.1,2.8,11.0,
Charles Johnson,25,GSW,SG,79,,27.5,5.0,12.1,.412,0.9,1.3,.735,1.7,2.2,3.9,2.9,1.7,0.1,2.6,10.9,
Elmore Smith,25,LAL,C,74,,31.6,4.7,9.5,.493,1.5,3.1,.485,2.8,8.1,10.9,2.0,1.1,2.9,3.4,10.9,
Phil Jackson,29,NYK,PF,78,,29.3,4.2,9.1,.455,2.5,3.2,.763,1.8,5.9,7.7,1.7,1.1,0.7,4.2,10.8,
Kevin Kunnert,23,HOU,C,75,,24.0,4.6,9.0,.512,1.5,2.3,.686,2.9,5.6,8.4,1.4,0.5,1.1,3.0,10.8,
Ron Behagen,24,KCO,PF,81,,27.2,4.1,10.3,.399,2.5,3.3,.754,1.8,5.5,7.3,1.9,0.7,0.5,3.7,10.7,
George Thompson,27,MIL,SG,73,,27.2,4.2,9.5,.443,2.3,2.9,.785,0.7,1.8,2.5,3.1,0.9,0.1,2.8,10.7,
Paul Silas,31,BOS,PF,82,,32.5,3.8,9.1,.417,3.0,4.2,.709,4.2,8.3,12.5,2.7,0.7,0.3,2.8,10.6,"AS,DEF1"
Jim Barnett,30,2TM,SG,73,,24.3,3.9,8.9,.437,2.7,3.3,.836,0.8,1.6,2.5,2.4,0.6,0.2,2.2,10.5,
Dwight Jones,22,ATL,C,75,,27.8,4.3,10.0,.430,1.8,2.4,.721,3.1,6.1,9.3,2.0,0.7,0.7,3.0,10.4,
John Gianelli,24,NYK,C,80,,35.0,4.3,9.1,.472,1.7,2.4,.692,2.7,5.9,8.6,2.0,0.5,1.5,3.3,10.3,
Happy Hairston,32,LAL,PF,74,,30.9,3.7,7.2,.506,2.9,3.7,.801,4.1,8.7,12.8,2.3,0.7,0.1,2.9,10.3,
Tom Burleson,22,SEA,C,82,,23.0,3.9,9.4,.417,2.2,3.2,.687,1.9,5.1,7.0,1.4,0.8,1.9,2.7,10.1,
Dennis Awtrey,26,PHO,C,82,,34.6,4.1,8.8,.470,1.6,2.4,.677,3.0,5.6,8.6,4.2,0.7,0.6,2.8,9.9,
Bud Stallworth,25,NOJ,SF,73,,22.8,4.1,9.7,.420,1.7,2.5,.687,1.1,2.3,3.4,0.6,0.8,0.2,2.8,9.9,
Dwight Davis,25,CLE,PF,78,,25.2,3.8,8.5,.443,2.3,3.1,.718,1.4,4.6,5.9,1.9,0.6,0.5,3.3,9.8,
Larry McNeill,24,KCO,PF,80,,21.9,3.7,8.1,.459,2.4,3.0,.784,1.9,4.4,6.2,0.9,0.9,0.3,2.9,9.8,
Paul Westphal,24,BOS,SG,82,,19.3,4.2,8.2,.510,1.5,1.9,.763,0.5,1.5,2.0,2.9,1.0,0.4,2.3,9.8,
Zaid Abdul-Aziz,28,HOU,C,65,,22.3,3.6,8.3,.437,2.4,3.1,.783,2.4,5.1,7.5,1.3,0.6,1.1,2.0,9.7,
Don Chaney,28,BOS,SG,82,,26.9,3.9,9.1,.428,1.6,2.0,.806,2.1,2.4,4.5,2.2,1.5,0.8,3.0,9.5,DEF2
Clifford Ray,26,GSW,C,82,,30.7,3.6,7.0,.522,2.1,3.5,.602,3.2,7.5,10.6,2.2,1.2,1.4,3.7,9.4,
Wes Unseld,28,WSB,C,73,,39.8,3.7,7.5,.502,1.7,2.5,.685,4.4,10.4,14.8,4.1,1.6,0.9,2.5,9.2,"MVP-9,AS"
Henry Bibby,25,2TM,PG,75,,18.7,3.6,8.3,.436,1.8,2.5,.725,0.6,1.2,1.8,2.4,0.7,0.0,2.1,9.0,
Jim Fox,31,SEA,C,75,,23.5,3.4,7.2,.469,2.3,2.8,.802,1.7,4.8,6.5,1.8,0.6,0.2,2.2,9.0,
Jon McGlocklin,31,MIL,SG,79,,23.5,4.1,8.2,.496,0.8,0.9,.875,0.3,1.2,1.5,3.2,0.6,0.1,1.8,9.0,
George Trapp,26,DET,PF,78,,18.9,3.7,8.4,.442,1.3,1.7,.756,0.9,2.6,3.5,0.8,0.5,0.2,2.7,8.7,
Stu Lantz,28,2TM,SG,75,,23.8,3.0,7.5,.406,2.6,3.1,.838,1.2,1.4,2.6,2.5,0.7,0.2,2.2,8.6,
Larry Steele,25,POR,SG,76,,31.4,3.5,6.4,.548,1.6,1.9,.836,1.1,1.8,3.0,3.8,2.4,0.2,3.3,8.6,
Gary Melchionni,24,PHO,SG,68,,22.5,3.4,7.9,.430,1.7,2.1,.809,0.7,2.1,2.8,2.3,0.7,0.2,1.7,8.5,
Jim Brewer,23,CLE,PF,82,,24.3,3.5,7.8,.455,1.3,1.9,.648,2.5,3.7,6.2,1.6,0.9,0.5,1.8,8.4,
Jeff Mullins,32,GSW,SG,66,,17.3,3.5,7.8,.455,1.1,1.3,.816,0.7,1.2,1.9,2.3,0.9,0.2,1.9,8.2,
Howard Porter,26,2TM,SF,58,,20.1,3.5,7.1,.488,1.1,1.4,.835,1.4,3.0,4.4,0.3,0.4,0.4,1.6,8.1,
Gary Brokaw,21,MIL,SG,73,,22.5,3.2,7.0,.455,1.7,2.5,.685,0.5,1.5,2.0,3.0,0.4,0.2,2.4,8.1,
E.C. Coleman,24,NOJ,PF,77,,28.3,3.3,7.4,.445,1.5,2.2,.699,2.5,4.7,7.1,1.4,1.1,0.5,3.6,8.1,
John Block,30,2TM,PF,54,,17.4,2.9,6.4,.460,2.1,2.7,.792,1.3,3.0,4.3,0.9,0.8,0.6,2.2,8.0,
Connie Hawkins,32,LAL,PF,43,,23.9,3.2,7.5,.429,1.6,2.3,.687,1.3,3.3,4.6,2.8,1.2,0.5,2.7,8.0,
Leroy Ellis,34,PHI,PF,82,69,26.6,3.5,7.6,.461,0.9,1.2,.727,2.4,4.7,7.1,1.4,0.5,0.7,2.2,7.9,
